LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AU,HUR,TOT,PC_LF,M,2016-09,5.650477,
AU,HUR,TOT,PC_LF,M,2016-10,5.589546,
AU,HUR,TOT,PC_LF,M,2016-11,5.768888,
AU,HUR,TOT,PC_LF,M,2016-12,5.835867,
AU,HUR,TOT,PC_LF,M,2017-01,5.69011,
AU,HUR,TOT,PC_LF,M,2017-02,5.850634,
AU,HUR,TOT,PC_LF,M,2017-03,5.848798,
AU,HUR,TOT,PC_LF,M,2017-04,5.607005,
AU,HUR,TOT,PC_LF,M,2017-05,5.535225,
AU,HUR,TOT,PC_LF,M,2017-06,5.600267,
AU,HUR,TOT,PC_LF,M,2017-07,5.604192,
AU,HUR,TOT,PC_LF,M,2017-08,5.523166,
AU,HUR,TOT,PC_LF,M,2017-09,5.456199,
AU,HUR,TOT,PC_LF,M,2017-10,5.379201,
AU,HUR,TOT,PC_LF,M,2017-11,5.429996,
AU,HUR,TOT,PC_LF,M,2017-12,5.61493,
AU,HUR,TOT,PC_LF,M,2018-01,5.510378,
AU,HUR,TOT,PC_LF,M,2018-02,5.570777,
AU,HUR,TOT,PC_LF,M,2018-03,5.515009,
AU,HUR,TOT,PC_LF,M,2018-04,5.528219,
AU,HUR,TOT,PC_LF,M,2018-05,5.386624,
AU,HUR,TOT,PC_LF,M,2018-06,5.329007,
AU,HUR,TOT,PC_LF,M,2018-07,5.304544,
AU,HUR,TOT,PC_LF,M,2018-08,5.285645,
AU,HUR,TOT,PC_LF,M,2018-09,5.029325,
AU,HUR,TOT,PC_LF,M,2018-10,5.01703,
AU,HUR,TOT,PC_LF,M,2018-11,5.119251,
AU,HUR,TOT,PC_LF,M,2018-12,5.027087,
AU,HUR,TOT,PC_LF,M,2019-01,5.052194,
AU,HUR,TOT,PC_LF,M,2019-02,4.974527,
AU,HUR,TOT,PC_LF,M,2019-03,5.088525,
AU,HUR,TOT,PC_LF,M,2019-04,5.204163,
AU,HUR,TOT,PC_LF,M,2019-05,5.197917,
AU,HUR,TOT,PC_LF,M,2019-06,5.260001,
AU,HUR,TOT,PC_LF,M,2019-07,5.288794,
AU,HUR,TOT,PC_LF,M,2019-08,5.27555,
AU,HUR,TOT,PC_LF,M,2019-09,5.212664,
AU,HUR,TOT,PC_LF,M,2019-10,5.313169,
AU,HUR,TOT,PC_LF,M,2019-11,5.169869,
AU,HUR,TOT,PC_LF,M,2019-12,5.068987,
AU,HUR,TOT,PC_LF,M,2020-01,5.267522,
AU,HUR,TOT,PC_LF,M,2020-02,5.084966,
AU,HUR,TOT,PC_LF,M,2020-03,5.218182,
AU,HUR,TOT,PC_LF,M,2020-04,6.294097,
AU,HUR,TOT,PC_LF,M,2020-05,6.991627,
AU,HUR,TOT,PC_LF,M,2020-06,7.433662,
AU,HUR,TOT,PC_LF,M,2020-07,7.540934,
AU,HUR,TOT,PC_LF,M,2020-08,6.830622,
AU,HUR,TOT,PC_LF,M,2020-09,6.928481,
AU,HUR,TOT,PC_LF,M,2020-10,6.981556,
AU,HUR,TOT,PC_LF,M,2020-11,6.841243,
AU,HUR,TOT,PC_LF,M,2020-12,6.591623,
AU,HUR,TOT,PC_LF,M,2021-01,6.332606,
AU,HUR,TOT,PC_LF,M,2021-02,5.802754,
AU,HUR,TOT,PC_LF,M,2021-03,5.62768,
AU,HUR,TOT,PC_LF,M,2021-04,5.397193,
AU,HUR,TOT,PC_LF,M,2021-05,5.040593,
AU,HUR,TOT,PC_LF,M,2021-06,4.967365,
